CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100),cluster,Cluster_label
221,Female,28,15,42,1,Cluster 1
222,Male,65,16,10,1,Cluster 1
223,Female,45,18,78,1,Cluster 1
224,Male,20,19,95,1,Cluster 1
225,Female,50,20,30,1,Cluster 1
226,Male,35,22,60,1,Cluster 1
227,Female,58,23,15,1,Cluster 1
228,Male,29,24,88,1,Cluster 1
229,Female,40,25,50,1,Cluster 1
230,Male,70,26,5,1,Cluster 1
231,Female,30,28,70,1,Cluster 1
232,Male,48,30,40,1,Cluster 1
233,Female,22,32,92,1,Cluster 1
234,Male,60,33,20,1,Cluster 1
235,Female,33,35,75,1,Cluster 1
236,Male,42,36,55,1,Cluster 1
237,Female,25,38,85,1,Cluster 1
238,Male,55,40,25,1,Cluster 1
239,Female,38,42,68,1,Cluster 1
240,Male,62,44,12,1,Cluster 1
241,Female,26,45,80,1,Cluster 1
242,Male,50,46,35,1,Cluster 1
243,Female,31,48,63,1,Cluster 1
244,Male,68,50,8,1,Cluster 1
245,Female,23,52,90,0,Cluster 0
246,Male,47,54,48,0,Cluster 0
247,Female,36,56,72,0,Cluster 0
248,Male,59,58,22,0,Cluster 0
249,Female,29,60,83,0,Cluster 0
250,Male,40,62,58,0,Cluster 0
251,Female,63,64,18,0,Cluster 0
252,Male,21,65,94,0,Cluster 0
253,Female,34,66,70,0,Cluster 0
254,Male,52,68,30,0,Cluster 0
255,Female,27,70,89,0,Cluster 0
256,Male,46,72,52,0,Cluster 0
257,Female,39,74,66,0,Cluster 0
258,Male,61,76,28,0,Cluster 0
259,Female,24,78,91,0,Cluster 0
260,Male,37,80,60,0,Cluster 0
261,Female,51,82,38,0,Cluster 0
262,Male,66,84,10,0,Cluster 0
263,Female,20,85,95,0,Cluster 0
264,Male,43,86,50,0,Cluster 0
265,Female,32,88,77,0,Cluster 0
266,Male,57,90,20,0,Cluster 0
267,Female,25,92,82,0,Cluster 0
268,Male,49,94,45,0,Cluster 0
269,Female,30,95,70,0,Cluster 0
270,Male,60,96,25,0,Cluster 0
